# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 10.000000
nsample 64

# Analog Inputs
aichannel 10
ailabel "Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 984.279297
aicalzero 0.001190
aicalunits "uA"

aichannel 11
ailabel "Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 0
do5 0

# Analog Outputs
aochannel 0
aosignal constant
aofrequency 500.000000
aoamplitude 0.000000
aooffset 5.000000
aoduty 0.500000

# Meta Parameters
meta float
n2_psig 25.000000
weight1_g 0.262500
weight2_g 0.260
standoff_in 0.500000
cut_o2_psig 40.000000
meta end

## End Configuration ##
#: Thu Aug 19 15:03:36 2021
4.111610e-03	9.449944e+00
4.932748e-03	9.453103e+00
4.459015e-03	9.455315e+00
9.227931e-03	9.453735e+00
8.533121e-03	9.447102e+00
1.074388e-02	9.442678e+00
7.617237e-03	9.437941e+00
4.932748e-03	9.435729e+00
8.533121e-03	9.461948e+00
4.206357e-03	9.465424e+00
5.374899e-03	9.465107e+00
5.216988e-03	9.464791e+00
4.395850e-03	9.460369e+00
3.448384e-03	9.454367e+00
5.501228e-03	9.452787e+00
7.459326e-03	9.449312e+00
1.627077e-02	9.460369e+00
8.627868e-03	9.465424e+00
1.235457e-02	9.469530e+00
9.512170e-03	9.466055e+00
9.922739e-03	9.463844e+00
1.159660e-02	9.464160e+00
8.027806e-03	9.473637e+00
7.143504e-03	9.471742e+00
1.061755e-02	9.472373e+00
1.472324e-02	9.478375e+00
4.395850e-03	9.480586e+00
7.175086e-03	9.480270e+00
1.128078e-02	9.485009e+00
5.785468e-03	9.479955e+00
1.039647e-02	9.481850e+00
3.858953e-03	9.479639e+00
9.859575e-03	9.481850e+00
1.128078e-02	9.481218e+00
5.974961e-03	9.481218e+00
1.087021e-02	9.483429e+00
4.301104e-03	9.479639e+00
9.796411e-03	9.482165e+00
4.616926e-03	9.481218e+00
8.596286e-03	9.481534e+00
1.510222e-02	9.483113e+00
1.080704e-02	9.482165e+00
9.891157e-03	9.483746e+00
3.574713e-03	9.480586e+00
8.848944e-03	9.481850e+00
7.396162e-03	9.483746e+00
6.480277e-03	9.481218e+00
1.121761e-02	9.482798e+00
4.490597e-03	9.482482e+00
8.280464e-03	9.480586e+00
1.181767e-02	9.482482e+00
4.869584e-03	9.481534e+00
8.817362e-03	9.480586e+00
9.385842e-03	9.482165e+00
6.132873e-03	9.482482e+00
6.448695e-03	9.478691e+00
1.219666e-02	9.484061e+00
9.543752e-03	9.482482e+00
1.232299e-02	9.477743e+00
7.711984e-03	9.481850e+00
9.480588e-03	9.485325e+00
6.196037e-03	9.479955e+00
9.670082e-03	9.481850e+00
8.469957e-03	9.481850e+00
5.216988e-03	9.479639e+00
8.280464e-03	9.480586e+00
9.796411e-03	9.479955e+00
4.964331e-03	9.483746e+00
7.838313e-03	9.480586e+00
8.406793e-03	9.481850e+00
6.132873e-03	9.480586e+00
6.575024e-03	9.480586e+00
6.985593e-03	9.475848e+00
6.638188e-03	9.452472e+00
5.753886e-03	9.455947e+00
1.507064e-02	9.462896e+00
5.185406e-03	9.460053e+00
8.248881e-03	9.458473e+00
4.301104e-03	9.450576e+00
3.953699e-03	9.449629e+00
6.480277e-03	9.444259e+00
1.102812e-02	9.437941e+00
9.259513e-03	9.438889e+00
7.396162e-03	9.444574e+00
6.669770e-03	9.453420e+00
5.690722e-03	9.451839e+00
3.922117e-03	9.451524e+00
7.364579e-03	9.451208e+00
9.733246e-03	9.443942e+00
1.030173e-02	9.439520e+00
1.535488e-02	9.437625e+00
1.554437e-02	9.454999e+00
5.690722e-03	9.463844e+00
7.459326e-03	9.466055e+00
7.206668e-03	9.464160e+00
5.817051e-03	9.460369e+00
7.143504e-03	9.458790e+00
4.616926e-03	9.451839e+00
6.511859e-03	9.447417e+00
6.227619e-03	9.456894e+00
1.014381e-02	9.466687e+00
5.501228e-03	9.467319e+00
3.543131e-03	9.467319e+00
4.585344e-03	9.466055e+00
5.059077e-03	9.461317e+00
6.290784e-03	9.457842e+00
1.112286e-02	9.450260e+00
1.137552e-02	9.451524e+00
8.848944e-03	9.461948e+00
9.354259e-03	9.469214e+00
1.074388e-02	9.467319e+00
1.014381e-02	9.466055e+00
8.943690e-03	9.461317e+00
9.891157e-03	9.458158e+00
7.554073e-03	9.451524e+00
1.308096e-02	9.449944e+00
